Asambleista,Imagen,Género,Tipo de circunscripción,Circunscripción,jerarquiacircunscripcin,Suplente,Organización política,Comisiones,Cargo en comisión,Consejo de Administración Legislativa,Correo asambleísta,Twitter,Instagram
Abad Verdugo Joel Eduardo,Joel-Abad.png,Masculino,Provincial,Cañar,Provincial>Cañar,Lucíla Saeteros,Pachakutik,Derecho a la Salud y Deporte,Integrante,,joel.abad@asambleanacional.gob.ec,@joel_abad,joelabadverdugo18
Abedrabbo García Jorge Farah,Jorge-Abedrabo.png,Masculino,Provincial,Bolívar,Provincial>Bolívar,,Alianza SUMA - Partido Social Cristiano,"Protección Integral a Niñas, Niños y Adolescentes ",Integrante,,jorge.abedrabbo@asambleanacional.gob.ec,,
Acuña Figueroa Joao Aarón,Joao-Acuna.png,Masculino,Provincial,Manabí Distrito 2,Provincial>Manabí Distrito 2,Gema Sulay Moreira Jaramilo,Alianza UNES,Soberanía Alimentaria y Desarrollo del Sector Agropecuario y Pesquero,Integrante,,joao.acuna@asambleanacional.gob.ec,@Boris_Man,
Agualsaca Guamán José Clemente,Jose-Clemene-Agualsaca.png,Masculino,Nacional,Nacional,Nacional>Nacional,Nuria Susana Butiña Martinez,Alianza UNES,Justicia y Estructura del Estado,Integrante,,jose.agualsaca@asambleanacional.gob.ec,@JoseAgualsacaG,"@mashijose_agualsaca

"
Aguirre Zambonino Pamela Alejandra,Pamela-Aguirre.png,Femenino,Provincial,Imbabura,Provincial>Imbabura,Pamela Aguirre Zambonino,Alianza UNES,Derecho al Trabajo y la Seguridad Social,Integrante,,pamela.aguirre@asambleanacional.gob.ec,pameaguirre1,pameaguirre1
Álava Moreira María Vanessa,Vanessa-Alava.png,Femenino,Provincial,Manabí Distrito 1,Provincial>Manabí Distrito 1,Yalina Coppiano Arguello,Alianza UNES,Biodiversidad y Recursos Naturales,Integrante,,maria.alava@asambleanacional.gob.ec,@MVANESSAALAVA,
Aleaga Santos Ronny Xavier,Ronny-Aleaga.png,Masculino,Provincial,Guayas Distrito 2,Provincial>Guayas Distrito 2,Emily Vera Aguiño,Alianza UNES,Soberanía Alimentaria y Desarrollo del Sector Agropecuario y Pesquero,Integrante,Tercer vocal,ronny.aleaga@asambleanacional.gob.ec,RonnyAleagaS,ronnyaleagasantos
Almeida Moran Luis Fernando,Luis-Almeida.png,Masculino,Provincial,Guayas Distrito 1,Provincial>Guayas Distrito 1,Jenny Beatriz Almeida Morán,Alianza Partido Social Cristiano - Madera de Guerrero,Derecho al Trabajo y la Seguridad Social,Integrante,,luis.almeida@asambleanacional.gob.ec,LuisAlmeidaM,luisalmeidamoran
Alvarado Espinel Marcos Humberto,Humberto-Alvarado.png,Masculino,Provincial,Los Ríos,Provincial>Los Ríos,Mónica de Jesús Salazar Hidalgo,Alianza UNES,"Transparencia, Participación Ciudadana y Control Social",Integrante,,marcos.alvarado@asambleanacional.gob.ec,,humbertoalvaradoespinel1
Álvarez Zambrano Ferdinan Arturo,Ferdinan-Alvarez.png,Masculino,Provincial,Guayas Distrito 3,Provincial>Guayas Distrito 3,Maria Cecilia Herrera Montero,Alianza UNES,"Transparencia, Participación Ciudadana y Control Social",Presidente,,ferdinan.alvarez@asambleanacional.gob.ec,FerdinanAZ87,ferdinanaz87
Andrade Muñoz Wilma Piedad,Wilma-Andrade.png,Femenino,Nacional,Nacional,Nacional>Nacional,Sebastián Ibarra,Partido Izquierda Democrática,"Desarrollo Económico, Productivo y la Microempresa",Vicepresidente,,wilma.andrade@asambleanacional.gob.ec,@Wilmandrade,"@wilmaa12id

"
Aquino Merchán María del Carmen,Maria-del-Carmen-Aquino.png,Femenino,Provincial,Santa Elena,Provincial>Santa Elena,Roberto Lucas,Alianza UNETE,"Soberanía, Integración y Seguridad Integral",Vicepresidente,,maria.aquino@asambleanacional.gob.ec,,
Arce Pluas Alexandra Manuela,Alexandra-Arce.png,Femenino,Provincial,Guayas Distrito 3,Provincial>Guayas Distrito 3,Walter Gómez Ronquillo,Alianza UNES,Soberanía Alimentaria y Desarrollo del Sector Agropecuario y Pesquero,Integrante,,alexandra.arce@asambleanacional.gob.ec,Alexandra_Arce,alexandra.arce
Arias Arias Nathalie  Andrea,Natalie-Arias.png,Femenino,Nacional,Nacional,Nacional>Nacional,,CREO,"Desarrollo Económico, Productivo y la Microempresa",Integrante,Segunda vocal,nathalie.arias@asambleanacional.gob.ec,@Nathie_Arias,"@nathie_arias

"
Astudillo Barrezueta María Fernanda,Fernanda-Astudillo.png,Femenino,Provincial,El Oro,Provincial>El Oro,Jorge Ariel Quevedo Pinta,Alianza UNES,"Garantías Constitucionales, Derechos Humanos, Derechos Colectivos y la Interculturalidad",Integrante,,maria.astudillo@asambleanacional.gob.ec,FerContigoEstoy,
Bacigalupo Buenaventura Dalton Emory,Dalton-Bacigalupo.png,Masculino,Provincial,Cotopaxi,Provincial>Cotopaxi,Sherlín Pacheco,Partido Izquierda Democrática,Justicia y Estructura del Estado,Integrante,,dalton.bacigalupo@asambleanacional.gob.ec,DBacigalupoB,
